clu_id,TRT,PPVT_FallK,ETW_FallK,ETW_SpringK,RTW_SpringK,trt_e,clus_PPVT,clus_TRT,clus_trt_e,meanppvt,ppvtc1,ppvtc2,mean_trt_e,ctrt_e1,ctrt_e2
7,0,74,0,5,5,-0.5,83.5,0.5,0,84.260506,-9.5,-0.76050568,0.016806724,-0.5,-0.016806724
7,1,81,0,5,11,0.5,83.5,0.5,0,84.260506,-2.5,-0.76050568,0.016806724,0.5,-0.016806724
7,1,80,0,0,13,0.5,83.5,0.5,0,84.260506,-3.5,-0.76050568,0.016806724,0.5,-0.016806724
7,0,90,0,10,9,-0.5,83.5,0.5,0,84.260506,6.5,-0.76050568,0.016806724,-0.5,-0.016806724
7,0,88,0,8,10,-0.5,83.5,0.5,0,84.260506,4.5,-0.76050568,0.016806724,-0.5,-0.016806724
8,1,90,2,14,13,0.5,84.5,0.5,0,84.260506,5.5,0.23949432,0.016806724,0.5,-0.016806724
8,1,83,6,24,14,0.5,84.5,0.5,0,84.260506,-1.5,0.23949432,0.016806724,0.5,-0.016806724
8,0,88,0,5,8,-0.5,84.5,0.5,0,84.260506,3.5,0.23949432,0.016806724,-0.5,-0.016806724
8,0,78,0,2,9,-0.5,84.5,0.5,0,84.260506,-6.5,0.23949432,0.016806724,-0.5,-0.016806724
8,0,79,0,9,8,-0.5,84.5,0.5,0,84.260506,-5.5,0.23949432,0.016806724,-0.5,-0.016806724
8,1,89,1,8,14,0.5,84.5,0.5,0,84.260506,4.5,0.23949432,0.016806724,0.5,-0.016806724
9,0,83,0,5,9,-0.5,81.599998,0.40000001,-0.1,84.260506,1.4000015,-2.6605072,0.016806724,-0.40000001,-0.11680672
9,1,77,0,19,12,0.5,81.599998,0.40000001,-0.1,84.260506,-4.5999985,-2.6605072,0.016806724,0.60000002,-0.11680672
9,0,80,0,2,5,-0.5,81.599998,0.40000001,-0.1,84.260506,-1.5999985,-2.6605072,0.016806724,-0.40000001,-0.11680672
9,0,85,0,7,6,-0.5,81.599998,0.40000001,-0.1,84.260506,3.4000015,-2.6605072,0.016806724,-0.40000001,-0.11680672
9,1,83,0,5,12,0.5,81.599998,0.40000001,-0.1,84.260506,1.4000015,-2.6605072,0.016806724,0.60000002,-0.11680672
10,0,85,0,0,6,-0.5,82.285713,0.42857143,-0.071428575,84.260506,2.7142868,-1.9747925,0.016806724,-0.42857143,-0.088235296
10,0,91,0,0,6,-0.5,82.285713,0.42857143,-0.071428575,84.260506,8.7142868,-1.9747925,0.016806724,-0.42857143,-0.088235296
10,1,81,2,1,5,0.5,82.285713,0.42857143,-0.071428575,84.260506,-1.2857132,-1.9747925,0.016806724,0.5714286,-0.088235296
10,0,71,0,0,4,-0.5,82.285713,0.42857143,-0.071428575,84.260506,-11.285713,-1.9747925,0.016806724,-0.42857143,-0.088235296
10,1,74,0,0,10,0.5,82.285713,0.42857143,-0.071428575,84.260506,-8.2857132,-1.9747925,0.016806724,0.5714286,-0.088235296
10,0,86,3,4,6,-0.5,82.285713,0.42857143,-0.071428575,84.260506,3.7142868,-1.9747925,0.016806724,-0.42857143,-0.088235296
10,1,88,0,8,9,0.5,82.285713,0.42857143,-0.071428575,84.260506,5.7142868,-1.9747925,0.016806724,0.5714286,-0.088235296
11,0,79,0,4,7,-0.5,82.777779,0.44444445,-0.055555556,84.260506,-3.7777786,-1.4827271,0.016806724,-0.44444445,-0.072362281
11,0,88,3,7,7,-0.5,82.777779,0.44444445,-0.055555556,84.260506,5.2222214,-1.4827271,0.016806724,-0.44444445,-0.072362281
11,1,79,0,11,15,0.5,82.777779,0.44444445,-0.055555556,84.260506,-3.7777786,-1.4827271,0.016806724,0.55555558,-0.072362281
11,0,79,0,15,11,-0.5,82.777779,0.44444445,-0.055555556,84.260506,-3.7777786,-1.4827271,0.016806724,-0.44444445,-0.072362281
11,1,85,0,13,5,0.5,82.777779,0.44444445,-0.055555556,84.260506,2.2222214,-1.4827271,0.016806724,0.55555558,-0.072362281
11,0,82,0,10,10,-0.5,82.777779,0.44444445,-0.055555556,84.260506,-0.77777863,-1.4827271,0.016806724,-0.44444445,-0.072362281
11,0,88,2,5,11,-0.5,82.777779,0.44444445,-0.055555556,84.260506,5.2222214,-1.4827271,0.016806724,-0.44444445,-0.072362281
11,1,77,6,7,10,0.5,82.777779,0.44444445,-0.055555556,84.260506,-5.7777786,-1.4827271,0.016806724,0.55555558,-0.072362281
11,1,88,2,33,16,0.5,82.777779,0.44444445,-0.055555556,84.260506,5.2222214,-1.4827271,0.016806724,0.55555558,-0.072362281
12,1,85,0,11,12,0.5,82.375,0.5,0,84.260506,2.625,-1.8855057,0.016806724,0.5,-0.016806724
12,0,84,1,4,8,-0.5,82.375,0.5,0,84.260506,1.625,-1.8855057,0.016806724,-0.5,-0.016806724
12,0,88,4,5,9,-0.5,82.375,0.5,0,84.260506,5.625,-1.8855057,0.016806724,-0.5,-0.016806724
12,1,81,1,2,9,0.5,82.375,0.5,0,84.260506,-1.375,-1.8855057,0.016806724,0.5,-0.016806724
12,1,80,0,2,4,0.5,82.375,0.5,0,84.260506,-2.375,-1.8855057,0.016806724,0.5,-0.016806724
12,0,82,0,2,7,-0.5,82.375,0.5,0,84.260506,-0.375,-1.8855057,0.016806724,-0.5,-0.016806724
12,1,83,0,0,4,0.5,82.375,0.5,0,84.260506,0.625,-1.8855057,0.016806724,0.5,-0.016806724
12,0,76,0,0,8,-0.5,82.375,0.5,0,84.260506,-6.375,-1.8855057,0.016806724,-0.5,-0.016806724
13,0,77,1,2,7,-0.5,79,0.40000001,-0.1,84.260506,-2,-5.2605057,0.016806724,-0.40000001,-0.11680672
13,0,79,0,10,6,-0.5,79,0.40000001,-0.1,84.260506,0,-5.2605057,0.016806724,-0.40000001,-0.11680672
13,1,75,1,2,5,0.5,79,0.40000001,-0.1,84.260506,-4,-5.2605057,0.016806724,0.60000002,-0.11680672
13,0,84,0,3,5,-0.5,79,0.40000001,-0.1,84.260506,5,-5.2605057,0.016806724,-0.40000001,-0.11680672
13,1,80,2,2,6,0.5,79,0.40000001,-0.1,84.260506,1,-5.2605057,0.016806724,0.60000002,-0.11680672
14,1,88,3,0,6,0.5,81.125,0.5,0,84.260506,6.875,-3.1355057,0.016806724,0.5,-0.016806724
14,0,79,0,2,7,-0.5,81.125,0.5,0,84.260506,-2.125,-3.1355057,0.016806724,-0.5,-0.016806724
14,0,82,0,0,4,-0.5,81.125,0.5,0,84.260506,0.875,-3.1355057,0.016806724,-0.5,-0.016806724
14,0,78,0,0,3,-0.5,81.125,0.5,0,84.260506,-3.125,-3.1355057,0.016806724,-0.5,-0.016806724
14,1,80,0,3,6,0.5,81.125,0.5,0,84.260506,-1.125,-3.1355057,0.016806724,0.5,-0.016806724
14,0,87,2,2,5,-0.5,81.125,0.5,0,84.260506,5.875,-3.1355057,0.016806724,-0.5,-0.016806724
14,1,81,0,4,8,0.5,81.125,0.5,0,84.260506,-0.125,-3.1355057,0.016806724,0.5,-0.016806724
14,1,74,4,2,4,0.5,81.125,0.5,0,84.260506,-7.125,-3.1355057,0.016806724,0.5,-0.016806724
15,1,77,3,15,15,0.5,83.599998,0.60000002,0.1,84.260506,-6.5999985,-0.6605072,0.016806724,0.40000001,0.08319328
15,0,91,2,10,9,-0.5,83.599998,0.60000002,0.1,84.260506,7.4000015,-0.6605072,0.016806724,-0.60000002,0.08319328
15,1,92,1,12,13,0.5,83.599998,0.60000002,0.1,84.260506,8.4000015,-0.6605072,0.016806724,0.40000001,0.08319328
15,0,74,0,4,10,-0.5,83.599998,0.60000002,0.1,84.260506,-9.5999985,-0.6605072,0.016806724,-0.60000002,0.08319328
15,1,84,0,15,15,0.5,83.599998,0.60000002,0.1,84.260506,0.40000153,-0.6605072,0.016806724,0.40000001,0.08319328
16,0,87,0,23,13,-0.5,83.333336,0.5,0,84.260506,3.6666641,-0.9271698,0.016806724,-0.5,-0.016806724
16,1,86,0,28,16,0.5,83.333336,0.5,0,84.260506,2.6666641,-0.9271698,0.016806724,0.5,-0.016806724
16,0,82,0,2,9,-0.5,83.333336,0.5,0,84.260506,-1.3333359,-0.9271698,0.016806724,-0.5,-0.016806724
16,0,80,0,21,12,-0.5,83.333336,0.5,0,84.260506,-3.3333359,-0.9271698,0.016806724,-0.5,-0.016806724
16,1,75,0,28,16,0.5,83.333336,0.5,0,84.260506,-8.3333359,-0.9271698,0.016806724,0.5,-0.016806724
16,1,90,3,38,16,0.5,83.333336,0.5,0,84.260506,6.6666641,-0.9271698,0.016806724,0.5,-0.016806724
17,0,86,0,0,8,-0.5,80.875,0.5,0,84.260506,5.125,-3.3855057,0.016806724,-0.5,-0.016806724
17,1,81,0,13,12,0.5,80.875,0.5,0,84.260506,0.125,-3.3855057,0.016806724,0.5,-0.016806724
17,1,85,0,18,13,0.5,80.875,0.5,0,84.260506,4.125,-3.3855057,0.016806724,0.5,-0.016806724
17,1,76,0,25,15,0.5,80.875,0.5,0,84.260506,-4.875,-3.3855057,0.016806724,0.5,-0.016806724
17,0,72,0,6,9,-0.5,80.875,0.5,0,84.260506,-8.875,-3.3855057,0.016806724,-0.5,-0.016806724
17,1,82,3,17,11,0.5,80.875,0.5,0,84.260506,1.125,-3.3855057,0.016806724,0.5,-0.016806724
17,0,82,1,15,11,-0.5,80.875,0.5,0,84.260506,1.125,-3.3855057,0.016806724,-0.5,-0.016806724
17,0,83,0,4,8,-0.5,80.875,0.5,0,84.260506,2.125,-3.3855057,0.016806724,-0.5,-0.016806724
18,1,78,2,16,11,0.5,82.571426,0.5714286,0.071428575,84.260506,-4.5714264,-1.6890793,0.016806724,0.42857143,0.054621853
18,1,88,0,17,13,0.5,82.571426,0.5714286,0.071428575,84.260506,5.4285736,-1.6890793,0.016806724,0.42857143,0.054621853
18,1,86,0,16,11,0.5,82.571426,0.5714286,0.071428575,84.260506,3.4285736,-1.6890793,0.016806724,0.42857143,0.054621853
18,0,85,0,2,12,-0.5,82.571426,0.5714286,0.071428575,84.260506,2.4285736,-1.6890793,0.016806724,-0.5714286,0.054621853
18,0,88,0,3,11,-0.5,82.571426,0.5714286,0.071428575,84.260506,5.4285736,-1.6890793,0.016806724,-0.5714286,0.054621853
18,1,77,0,3,10,0.5,82.571426,0.5714286,0.071428575,84.260506,-5.5714264,-1.6890793,0.016806724,0.42857143,0.054621853
18,0,76,0,5,7,-0.5,82.571426,0.5714286,0.071428575,84.260506,-6.5714264,-1.6890793,0.016806724,-0.5714286,0.054621853
19,0,88,4,4,10,-0.5,80.333336,0.33333334,-0.16666667,84.260506,7.6666641,-3.9271698,0.016806724,-0.33333331,-0.18347339
19,1,87,0,12,16,0.5,80.333336,0.33333334,-0.16666667,84.260506,6.6666641,-3.9271698,0.016806724,0.66666669,-0.18347339
19,0,83,0,4,9,-0.5,80.333336,0.33333334,-0.16666667,84.260506,2.6666641,-3.9271698,0.016806724,-0.33333331,-0.18347339
19,1,71,0,5,8,0.5,80.333336,0.33333334,-0.16666667,84.260506,-9.3333359,-3.9271698,0.016806724,0.66666669,-0.18347339
19,0,78,0,0,3,-0.5,80.333336,0.33333334,-0.16666667,84.260506,-2.3333359,-3.9271698,0.016806724,-0.33333331,-0.18347339
19,0,75,0,6,9,-0.5,80.333336,0.33333334,-0.16666667,84.260506,-5.3333359,-3.9271698,0.016806724,-0.33333331,-0.18347339
20,0,88,0,11,13,-0.5,80,0.60000002,0.1,84.260506,8,-4.2605057,0.016806724,-0.60000002,0.08319328
